mill_name,latitude,longitude,rspo_model,cert,prnt_comp,country,state,sub_state,alt_name,address,globalid,group_name,umlid,risk_score_current,risk_score_past,risk_score_future,treeloss_sum,land_area,forest_area,treeloss_2001,treeloss_2002,treeloss_2003,treeloss_2004,treeloss_2005,treeloss_2006,treeloss_2007,treeloss_2008,treeloss_2009,treeloss_2010,treeloss_2011,treeloss_2012,treeloss_2013,treeloss_2014,treeloss_2015,treeloss_2016,treeloss_2017,treeloss_2018,treeloss_2019,treeloss_sum_proportion_of_land,treeloss_sum_proportion_of_forest,remaining_proportion_of_forest,geometry
BUKIT PALEM,-2.37333,110.64333, ,Not RSPO Certified,BUKIT PALEM,Indonesia,Kalimantan Barat,Ketapang, ,1-Fully Verified,{CB1EC548-07D5-49AD-84E2-373FF1B0F93B},UNKNOWN,po1000008176,5.0,3.0,4.0,22334.01494117647,64098.03035294117,46867.73152941176,280.36341176470586,330.78635294117646,110.95800000000001,288.1962352941177,114.74894117647058,602.3149411764706,575.3717647058822,417.6211764705883,1090.1985882352942,182.1109411764706,663.9801176470588,2063.0191764705874,3369.141176470589,3098.248941176471,1413.247411764706,1300.0655294117646,2344.3863529411765,1820.8263529411759,2268.4295294117646,0.3484352766879,0.4765328769360386,0.5234671230639614,"POLYGON ((110.6659725114715 -2.592759594800618, 110.5967607340986 -2.584644711520498, 110.5063711150207 -2.448052191430622, 110.5133174942875 -2.423219288642037, 110.6126149060243 -2.266443663547513, 110.7373328014193 -2.281619317873757, 110.7558258029613 -2.328606280387846, 110.6659725114715 -2.592759594800618))"
BASTIAN OLAH SAWIT,-2.35175,103.91411, ,Not RSPO Certified,BASTIAN OLAH SAWIT,Indonesia,Sumatera Selatan,Musi Banyuasin, ,2-High Confidence,{D048D290-7BAC-43D3-A7C8-2B116B566CD1},INDAH,po1000008178,3.0,5.0,3.0,17375.576823529416,32321.757882352937,25129.270941176484,363.24317647058825,276.3518823529411,95.59023529411766,890.6184705882357,1737.8548235294109,3256.559294117648,1733.3618823529412,3280.7011764705876,950.008588235294,255.17047058823528,327.5678823529411,1097.3534117647057,454.1957647058824,634.4354117647058,285.13235294117635,371.5408235294116,210.2325882352941,970.0500000000002,185.60858823529412,0.5375814300315686,0.69144770909601,0.30855229090398995,"POLYGON ((103.815966421323 -2.316010255669672, 103.9040503920252 -2.243188078379463, 103.9790985532729 -2.274155906481941, 103.9081880639874 -2.453867866069669, 103.8085289034899 -2.46909899567676, 103.7925888868356 -2.463500239660314, 103.815966421323 -2.316010255669672))"
SUNGAI RASAU,-2.28361,110.50333, ,Not RSPO Certified,KARYA BAKTI AGRO SEJAHTERA,Indonesia,Kalimantan Barat,Ketapang, ,1-Fully Verified,{A9B1AA63-C0CF-46BE-B6CB-97DF531B0BA7},BUMITAMA GUNAJAYA AGRO (BGA),po1000008180,3.0,5.0,2.0,14945.974588235304,25661.84470588237,21277.00588235295,99.61694117647059,333.84776470588235,102.4990588235294,129.9190588235294,66.93705882352941,771.9236470588235,1741.3891764705884,137.01317647058823,283.86917647058823,1739.2514117647054,2924.7667058823536,1172.1832941176478,429.9702352941177,1330.6764705882351,1400.6763529411764,708.1814117647058,803.0622352941176,456.3130588235293,313.87835294117644,0.5824201166960259,0.7024472649430165,0.29755273505698354,"POLYGON ((110.5133174942875 -2.423219288642037, 110.4304781239898 -2.205037654051767, 110.5796691056959 -2.218184263593848, 110.6126149060243 -2.266443663547513, 110.5133174942875 -2.423219288642037))"
SUMBER ADINUSA LESTARI,-2.20405,111.47948, ,Not RSPO Certified,SUMBER ADINUSA LESTARI,Indonesia,Kalimantan Tengah,Lamandau, ,1-Fully Verified,{4A46BBCC-ED52-4F68-91F5-AAAAB0CFDF51},UNKNOWN,po1000008182,4.0,4.0,3.0,6172.385999999999,12051.89188235294,10046.81611764706,69.16799999999999,107.69188235294116,1.53,344.1529411764707,168.1009411764706,336.2149411764705,211.65176470588233,59.49211764705882,716.1896470588233,348.4747058823529,148.3404705882353,704.866588235294,372.7976470588235,830.439176470588,643.878705882353,393.86964705882355,168.87317647058822,95.73529411764706,450.91835294117647,0.5121507942697324,0.6143623937894422,0.38563760621055776,"POLYGON ((111.5247300544535 -2.285045127169935, 111.4170151714429 -2.144281210758248, 111.4174074301216 -2.143490813676511, 111.5016939787504 -2.149250342756971, 111.5735894641013 -2.219129764088498, 111.5247300544535 -2.285045127169935))"
NUSANTARA SAWIT PERSADA,-2.10683,112.79417, ,Not RSPO Certified,NUSANTARA SAWIT PERSADA,Indonesia,Kalimantan Tengah,Kotawaringin Timur, ,1-Fully Verified,{786C3E38-8289-4F47-9351-D5F7C27C6F8D},CIPTA PLANTATION,po1000008184,2.0,5.0,1.0,11980.271294117649,16612.12835294118,15480.444352941182,20.49494117647059,214.7244705882353,845.1282352941178,1750.5119999999997,160.4325882352941,217.3041176470588,137.93435294117646,871.7816470588236,1681.4565882352938,654.8297647058822,2117.796,1600.5885882352943,195.42176470588237,363.08399999999995,413.86870588235286,406.3475294117647,141.48635294117645,143.61247058823528,43.46717647058823,0.7211761816177238,0.7738971195514472,0.22610288044855276,"POLYGON ((112.7819152916071 -2.26004066079529, 112.7678551685157 -2.073471631092615, 112.825678313732 -2.054535438494797, 112.8623558584103 -2.066842669795878, 112.8142450337882 -2.274914880438236, 112.7915342845028 -2.272021507894165, 112.7819152916071 -2.26004066079529))"
KOROLA,-2.08444,121.02306, ,Not RSPO Certified,TIMURJAYA INDOMAKMUR,Indonesia,Sulawesi Tengah,Morowali, ,1-Fully Verified,{08894C05-DF12-4322-8D8A-ACD4774059DB},UNKNOWN,po1000008185,1.0,1.0,3.0,51225.95400000001,547986.3119999999,494889.082235294,640.3955294117648,3395.334705882353,3043.263176470588,3964.9394117647057,1852.7894117647058,2432.182588235294,1608.9190588235292,347.24894117647057,3264.1461176470584,1860.3275294117648,2385.5170588235296,2963.655882352941,4462.486588235294,4052.4395294117644,5575.260705882352,3612.429529411765,1755.7475294117648,1820.4751764705884,2188.395529411764,0.09348035320999043,0.103509969887848,0.896490030112152,"POLYGON ((121.0860223183509 -2.523655131686307, 120.5921939886132 -2.176953116473214, 120.5739023579402 -2.084439999999793, 120.60809244763 -1.911503065885747, 120.7054575854778 -1.764880320641196, 120.8511748118636 -1.666903544395206, 121.02306 -1.632497488786042, 121.1949451881364 -1.666903544395206, 121.2905572511393 -1.731191383187232, 121.222111195757 -2.435244229975807, 121.2073737092569 -2.493511868903342, 121.1949451881364 -2.501864260405358, 121.0860223183509 -2.523655131686307))"
SEI KANDANG,-2.04294,103.34533, ,Not RSPO Certified,ASIATIC PERSADA,Indonesia,Jambi,Batang Hari, ,1-Fully Verified,{6DA6CD0C-7348-4B52-B670-00EF80151308},AMS-GANDA,po1000008186,3.0,3.0,3.0,61352.00364705883,148412.96011764705,143328.29647058822,515.9555294117648,1068.9070588235295,523.7622352941177,1436.6802352941177,2129.8736470588237,4519.166470588235,4952.349176470589,4232.305764705882,2360.2937647058825,728.3216470588236,2975.628352941176,15312.302117647057,1835.2083529411764,3631.4717647058824,2236.417411764706,7034.986588235293,1858.9891764705883,1999.5522352941173,1999.8321176470588,0.4133871031103015,0.4280522768904088,0.5719477231095912,"POLYGON ((103.2681640572668 -1.929639861296897, 103.4479292145503 -2.054976216901419, 103.4719755776396 -2.256923642915703, 103.3820897781338 -2.377496853805632, 103.1275246882764 -2.287654860683893, 103.0877323331248 -2.245664959936572, 103.0848371212771 -2.209090353321171, 103.1965959529897 -1.932684394879753, 103.212879120221 -1.915459896144465, 103.2502646093315 -1.921670758570073, 103.2681640572668 -1.929639861296897))"
TANJUNG LEBAR,-2.0189,103.5448, ,Not RSPO Certified,PERKEBUNAN NUSANTARA VI,Indonesia,Jambi,Muaro Jambi, ,1-Fully Verified,{5392E2D3-03A4-43B4-8C46-8B2C65E445D0},PTPN III,po1000008187,3.0,4.0,3.0,25377.88588235295,50246.1868235294,43255.432235294116,332.83411764705875,804.156705882353,150.93670588235292,1932.2781176470587,1102.2342352941175,1727.2997647058826,2154.128117647058,2025.5085882352944,1630.7756470588233,1716.2495294117653,845.4236470588231,3683.137058823534,744.5251764705881,1330.7410588235296,734.5704705882353,1953.175058823529,563.7652941176469,1650.0229411764699,296.1236470588235,0.5050708817264703,0.5866982381381906,0.41330176186180945,"POLYGON ((103.4917757570688 -1.941473532736043, 103.4927032907301 -1.940244175561954, 103.5449583661598 -1.945918312263879, 103.6275538989646 -2.051513378308026, 103.6348633989383 -2.16536313824009, 103.4719755776396 -2.256923642915703, 103.4479292145503 -2.054976216901419, 103.4917757570688 -1.941473532736043))"
SUMBER GUNA NABATI,-2.00645,102.49285, ,Not RSPO Certified,SUMBER GUNA NABATI,Indonesia,Jambi,Sarolangun, ,2-High Confidence,{620786D6-C419-4EAF-8242-6718D905E356},UNKNOWN,po1000008188,3.0,2.0,3.0,15463.026705882348,58173.03141176472,52885.20705882355,255.93105882352938,465.2745882352941,79.90058823529411,771.6434117647058,692.1508235294117,1209.6695294117646,1525.6563529411765,1768.8610588235294,1091.8376470588234,697.6097647058823,534.732705882353,1207.3870588235295,346.8529411764706,573.8858823529412,655.8945882352941,1053.3652941176472,1330.5568235294115,635.2203529411765,566.5962352941176,0.2658109149655756,0.29238850646236514,0.7076114935376349,"POLYGON ((102.5896025345092 -1.809405553737194, 102.6842496635467 -1.901781886762999, 102.6530385000974 -2.023580296567409, 102.6179659979028 -2.053232071151228, 102.4497282558431 -2.035055669997662, 102.4201559642584 -2.013646623651563, 102.5107653196651 -1.786920460287698, 102.5896025345092 -1.809405553737194))"
SAWIT ASAHAN TETAP UTUH,2.76689,99.61483, ,Not RSPO Certified,SAWIT ASAHAN TETAP UTUH,Indonesia,Sumatera Utara,Asahan, ,1-Fully Verified,{1902D844-FE64-4337-83FC-45FF85E43FD8},UNKNOWN,po1000008190,3.0,3.0,3.0,1466.483647058823,4697.450117647069,4402.10788235295,60.80470588235295,212.80305882352937,61.14494117647058,80.03117647058825,120.83964705882352,89.79423529411767,44.049882352941175,2.16,35.97,308.6562352941176,48.404117647058825,48.1295294117647,2.744823529411765,44.515764705882354,12.332823529411764,98.17411764705884,105.93388235294117,29.638235294117642,60.35647058823529,0.3121871675762206,0.3331321462923757,0.6668678537076242,"POLYGON ((99.64693089641865 2.7383269313879, 99.59190403388541 2.735431396747844, 99.56589955380981 2.751891348836295, 99.60468275089262 2.778002728916385, 99.71820958710981 2.756187505884186, 99.69793595033708 2.745605257142472, 99.64693089641865 2.7383269313879))"
