umlid,treeloss_sum,land_area,forest_area,treeloss_2001,treeloss_2002,treeloss_2003,treeloss_2004,treeloss_2005,treeloss_2006,treeloss_2007,treeloss_2008,treeloss_2009,treeloss_2010,treeloss_2011,treeloss_2012,treeloss_2013,treeloss_2014,treeloss_2015,treeloss_2016,treeloss_2017,treeloss_2018,treeloss_2019,treeloss_sum_proportion_of_land,treeloss_sum_proportion_of_forest,remaining_proportion_of_forest
PO1000000170,401191.4371764705,779111.9639999998,636725.3636470587,2996.329411764706,13642.24094117647,8780.857058823529,24988.273058823528,27547.464,75224.09752941175,40615.443176470595,31351.032352941173,23609.010352941175,14963.193176470586,25476.051882352942,16064.762470588235,9761.413411764705,15621.258705882352,24034.354941176472,31162.078235294117,5363.618117647058,3275.5129411764706,6714.4454117647065,0.5149342529881503,0.630085528364241,0.36991447163575897
PO1000000180,360559.8141176471,786859.8741176473,696612.8220000002,8667.862235294118,9636.537176470587,2715.33705882353,15388.215882352943,11962.326,24530.737058823528,26259.437294117644,37422.18247058824,20181.769764705885,10142.826352941178,12694.125529411762,61052.76282352941,15687.649411764705,24984.4874117647,15554.72188235294,20998.20705882353,12333.804705882352,19585.007294117644,10761.816705882355,0.4582262051702208,0.5175899764268868,0.48241002357311324
PO1000000184,181378.3531764706,577715.8570588238,459236.6460000001,12896.60823529412,5281.028823529411,6547.814117647059,15154.719176470588,16263.964235294115,10163.826000000001,7500.359294117647,4076.323058823529,14490.282000000001,15946.73117647059,10316.532705882351,9965.568705882353,3875.779411764706,8424.399529411765,6766.134705882352,10541.700705882353,8140.326352941177,7194.7083529411775,7831.546588235294,0.3139577198034265,0.3949561838243862,0.6050438161756138
PO1000000279,360072.41188235296,777460.3489411762,699681.8001176469,5136.235764705882,9072.307058823528,4824.087176470589,18399.113999999998,21175.234588235297,34151.874,43796.28529411764,39516.58164705882,32253.013764705884,2902.483764705882,10491.320117647057,28579.143529411762,11654.421176470589,13259.34105882353,9978.972352941175,26200.619647058822,19395.157411764707,16003.425176470588,13282.794352941177,0.4631392615362775,0.5146230926998661,0.48537690730013394
PO1000000283,258156.5925882354,784704.0120000001,674174.6022352942,7721.298000000001,11315.171647058822,5051.072470588235,17441.807294117647,18915.233647058823,12808.86882352941,7147.845882352942,7901.940352941176,20094.199058823528,14845.459764705878,15251.028705882352,14369.585647058822,13755.508941176471,17529.356823529415,11281.03694117647,17363.263411764707,17210.18188235294,13667.577882352944,14486.155411764705,0.3289859471092335,0.38292245322249024,0.6170775467775098
PO1000000284,186182.37564705883,785794.1311764705,429472.82929411763,3544.2564705882346,4416.760588235294,1595.2757647058822,6030.96211764706,5781.342705882353,8789.928,14099.051294117644,11963.94105882353,18228.355764705884,8053.731176470587,11598.55305882353,20831.424,3326.725058823529,9504.421058823527,10409.569411764707,13230.510000000002,9553.138941176469,14710.578352941178,10513.85082352941,0.23693530946624838,0.4335137474309342,0.5664862525690658
PO1000000286,262273.68247058825,786526.2787058824,732449.8327058823,4139.785411764706,7098.687529411766,2259.790588235294,26442.43094117647,12826.163647058822,25018.41035294117,24032.651647058825,24210.854117647064,18483.966,22491.07976470588,10582.201058823528,21982.764705882353,10968.912705882352,13687.081764705881,8936.292352941176,11264.926941176469,6719.0477647058815,5599.993411764705,5528.641764705882,0.3334582576212488,0.3580773327528428,0.6419226672471572
PO1000000314,341392.86705882347,785135.6901176472,615441.7694117647,4874.55811764706,17767.872352941176,6841.82505882353,31811.97988235294,25030.63411764706,54860.42999999999,31471.051411764704,32722.447411764704,21285.756,14705.055176470587,12313.099411764706,13556.47976470588,10050.805411764706,15038.48717647059,13431.814941176472,18037.739294117644,7820.879647058822,4530.2699999999995,5241.681882352941,0.4348202117874276,0.5547118899406593,0.44528811005934066
PO1000000315,390349.2264705882,782601.4238823529,714733.6588235294,5907.000352941176,8695.227176470587,2419.3602352941175,32035.374000000003,22370.855647058823,10209.53611764706,33948.13447058823,26915.04211764706,26729.573294117647,7533.411176470587,8031.596470588236,40898.71305882353,17132.055176470585,21897.98752941176,19233.640588235296,69467.67423529411,14224.496823529409,14407.962,8291.586,0.4987842017129638,0.5461464164330996,0.4538535835669004
PO1000000316,319552.62529411755,783216.5682352937,690699.276,11006.873647058823,8647.49611764706,2343.774,15554.090470588235,8850.386823529412,25258.981058823527,5620.073294117647,29086.59423529412,21017.9985882353,13727.402470588233,15282.287294117648,50439.21494117646,13146.363176470588,20486.34,13892.07705882353,24003.626823529412,13198.597764705884,15535.019647058823,12455.42788235294,0.4080003389281183,0.4626508762897814,0.5373491237102186
PO1000000317,416763.25694117637,784505.1028235293,612284.1508235293,21390.075882352943,18724.993411764706,5729.622352941177,37790.67705882352,34872.66917647058,18609.225176470583,38769.547058823526,20863.252941176477,28595.046352941175,39931.34223529413,21163.609411764704,30064.760470588237,13715.233058823529,20980.279764705883,7960.45694117647,17013.06882352941,16329.443647058823,12642.243882352937,11617.709294117647,0.5312435259390853,0.6806696798873937,0.3193303201126063
PO1000000318,120247.8345882353,399400.17635294114,357275.03117647057,6384.4824705882365,6898.918235294117,4297.910823529412,8446.211294117647,13912.654941176472,2791.3648235294113,2153.9579999999996,3386.2203529411768,2578.9323529411768,4864.574117647058,3191.4557647058823,8065.2458823529405,3542.7776470588237,11740.089176470587,3912.4764705882353,9396.098823529412,8480.71482352941,8370.875294117648,7832.873294117647,0.30107106032415704,0.3365693767971172,0.6634306232028828
