,Unnamed: 0,Match Type,Distance Score,Mill Name Score,Mill Company Score,idx,Consumer Company,Country,District,Latitude,Longitude,Mill Name,Consumer Mill Name,Mill Company,Consumer Mill Company,Parent Company,Consumer Parent Company,Province,RSPO,UMLID
7915,7915,Distance,2.699999996913505e-07,100,100,93.0,hershey,indonesia,muara enim,-3.8929099999999996,104.0956053,serasan sekundang sawitmas,serasan sekundang sawitmas,serasan sekundang sawitmas,serasan sekundang sawitmas,sinar jaya agro investama (sjai),sutomo,sumatera selatan,,po1000007610
7917,7917,Distance,0.16524905258427308,33,33,77.0,hershey,indonesia,langkat,3.862919,98.421293,harapan jaya sawita,serdang cemerlang,harapan jaya sawita,serdang cemerlang,unknown,serdang cemerlang,sumatera utara,,po1000004320
7918,7918,Distance,0.16201018976904058,31,31,871.0,hershey,indonesia,langkat,3.501233,98.437783,dewa rencana perangin angin,serdang hulu,dewa rencana perangin angin,serdang hulu,unknown,serdang hulu,sumatera utara,,po1000004291
7919,7919,Distance,0.06347883953424187,100,100,193.0,hershey,indonesia,kapuas hulu,0.9562877132068348,111.88282184639601,sawit seriang,seriang,buana tunas sejahtera,buana tunas sejahtera,unknown,non group,kalimantan barat,,po1000010259
7928,7928,Mill Name,0.22277132028571053,100,47,37.0,hershey,indonesia,siak,0.651217,101.75405,siak prima sakti,siak,siak prima sakti,berlian inti mekar,wilmar,mahkota,riau,,po1000004404
7930,7930,Mill Company,12.813172203615455,34,90,34.0,hershey,indonesia,kotawaringin barat,-2.5068610000000002,112.01344399999999,wana sawit subur lestari 1,siancimun,wana sawit subur lestari,sinar sawit subur lestari,best industry,enerventure ltd,kalimantan tengah,,po1000008626
7935,7935,Distance,2.2200000004968248e-07,100,100,397.0,hershey,indonesia,sijunjung,-0.9037780000000001,101.3981389,sijunjung,sijunjung,kemilau permata sawit,kemilau permata sawit,superventure,non group,sumatera barat,,po1000006186
7936,7936,Distance,0.14115876687700799,32,46,146.0,hershey,indonesia,mandailing natal,0.5675279999999999,99.20330600000001,patiluban mudik,sikarakara,tri bahtera srikandi,rimba mujur mahkota,sago nauli,pasifik agro sentosa,sumatera utara,,po1000008234
7937,7937,Distance,0.0,100,56,1635.0,hershey,indonesia,kutai timur,0.825349,118.753577,sima agung prima sawit,sima agung prima sawit,sima agung prima sawit,teladan prima,teladan prima,,kalimantan timur,,po1000008416
7940,7940,Distance,1.8831864904072258e-05,41,34,1679.0,hershey,indonesia,sanggau,-0.41106000000000004,110.18269,sumatera jaya agro lestari,simpang hulu barat,sumatera jaya agro lestari,aditya agroindo,incasi raya (gunas),agrindo,kalimantan barat,,po1000007616
7943,7943,Distance,1.699999999971169e-05,100,100,43.0,hershey,indonesia,bengkulu selatan,-4.3782,102.8406,sinar bengkulu selatan,sinar bengkulu selatan,sinar bengkulu selatan,sinar bengkulu selatan,trinity interlink,trinity interlink,bengkulu,,po1000004059
7944,7944,Distance,1.4210854715202004e-14,100,100,92.0,hershey,indonesia,melawi,-0.309167,111.59676699999999,sinar dinamika kapuas,sinar dinamika kapuas,sinar dinamika kapuas,sinar dinamika kapuas,lyman agro,lyman agro,kalimantan barat,,po1000004136
7946,7946,Distance,0.16718345886164804,43,40,390.0,hershey,indonesia,padang lawas,1.073631,99.99511944,aek tinga,sinar halomoan,mandiri sawit bersama,sinar halomoan,superventure,non group,sumatera utara,,po1000004246
7956,7956,Distance,0.19562769535268693,32,42,66.0,hershey,indonesia,ketapang,-2.1238,110.9809,umeka sari pratama,siriham,umekah sari pratama,poliplant sejahtera,first resources,cargill,kalimantan barat,,po1000010072
7975,7975,Distance,0.14817703077738098,34,31,735.0,hershey,indonesia,tapin,-2.728,114.84299999999999,tribuana mas,subur agro makmur,pt tribuana mas,subur agro makmur,astra agro lestari,astra agro lestari,kalimantan selatan,,po1000011312
7981,7981,Distance,0.08113403348164114,27,40,219.0,hershey,indonesia,seruyan,-2.0356,112.2387,sako,sukamandang,aditunggal mahajaya,kridatama lancar,sinar mas,sime darbyminamas,kalimantan tengah,,po1000007626
7984,7984,Distance,0.0,100,100,1016.0,hershey,indonesia,ketapang,-2.801034,110.59375,sukses karya sawit,sukses karya sawit,sukses karya sawit,sukses karya sawit,ioi corporation,ioi corporation berhad,kalimantan barat,,po1000004867
7985,7985,Distance,0.0008032434251248258,100,100,942.0,hershey,indonesia,konawe utara,-3.451764,122.16824799999999,sultra prima lestari,sultra prima lestari,sultra prima lestari,sultra prima lestari,unknown,non group,sulawesi tenggara,,po1000007442
