,Unnamed: 0,Match Type,Distance Score,Mill Name Score,Mill Company Score,idx,Consumer Company,Country,District,Latitude,Longitude,Mill Name,Consumer Mill Name,Mill Company,Consumer Mill Company,Parent Company,Consumer Parent Company,Province,RSPO,UMLID
0,0,Distance,0.05516445643046533,29,36,39.0,ferrero,indonesia,asahan,2.706553,99.61797299999999,anugrah multi sawita,aek loba,anugrah multi sawita,pt socfin indonesia,unknown, socfin,sumatera utara,,po1000008388
1,1,Mill Name,13.229442471271431,100,44,0.0,ferrero,indonesia,pasaman barat,0.198958,99.626589,agrowiratama,agrowiratama sukajadi sawit mekar 1,agro wiratama,pt sukajadi sawit mekar,musim mas, pt musim mas,sumatera barat,"rspo certified, ip",po1000000092
3,3,Mill Company,1.4427330659761723,42,100,49.0,ferrero,indonesia,labuhanbatu,2.31725,100.07016899999999,negeri lama,bangun bandar,socfin indonesia,pt socfin indonesia,socfin, socfin,sumatera utara,"rspo certified, ip",po1000001250
4,4,Distance,0.09466772228167146,34,39,392.0,ferrero,indonesia,serdang bedagai,3.3483110000000003,98.950331,multi agrindo sumatera,bangun bandar,multi agrindo sumatera,pt socfin indonesia,unknown, socfin,sumatera utara,,po1000007473
5,5,Distance,0.09267961213876263,30,26,139.0,ferrero,indonesia,pelalawan,0.1510556,101.9750556,sei nilo,batang kulim,surya bratasena plantation,pt musim mas,unknown, pt musim mas,riau,,po1000004159
6,6,Distance,0.12024462854829734,31,42,51.0,ferrero,indonesia,aceh timur,4.8285,97.83994399999999,mutiara sawit lestari,blang simpo,mutiara sawit lestari,pt perkasa subur sakti,unknown, sime darby plantation,aceh,,po1000009355
7,7,Distance,0.18028912381460196,29,41,747.0,ferrero,indonesia,indragiri hilir,0.10319450989254801,103.03444540350401,agathis,guntung idaman nusa 2,th indo plantations,pt guntung idamannus,gama plantations, pt musim mas,riau,,po1000010255
9,9,Distance,0.10091207924236732,30,33,567.0,ferrero,indonesia,aceh singkil,2.46227654433,98.02821195919992,singkil sejahtera makmur,lae butar,singkil sejahtera makmur,pt socfin indonesia,unknown, socfin,aceh,,po1000010059
10,10,Distance,0.14377629326491512,63,62,1.0,ferrero,indonesia,kotawaringin timur,-2.381111,112.539722,sukajadi sawit mekar 1,maju aneka sawit,sukajadi sawit mekar,pt maju aneka sawit,musim mas, pt musim mas,kalimantan tengah,"rspo certified, ip",po1000000106
11,11,Distance,0.004161465607197297,100,92,15.0,ferrero,indonesia,rokan hilir,1.520525,100.7319,manggala,manggala,tunggal mitra plantations,pt tunggal mitra plantation,sime darby, sime darby plantation,riau,"rspo certified, ip",po1000000330
12,12,Distance,0.007500400000664484,100,100,17.0,ferrero,indonesia,musi banyuasin,-2.441389,104.419444,mukut,mukut,hindoli,pt hindoli,cargill, cargill,sumatera selatan,"rspo certified, ip",po1000003254
13,13,Distance,0.19517541247810788,37,38,90.0,ferrero,indonesia,siak,0.9562780000000001,101.140528,libo sawit perkasa,nagasakti,libo sawit perkasa,pt buana wiralestari mas,unknown, golden agriresources ltd,riau,,po1000004239
14,14,Distance,0.17435091052242846,0,17,139.0,ferrero,indonesia,pelalawan,-0.2232,102.095,ukui i,,inti indosawit subur,pankalang lesung,royal golden eagle, pt musim mas,riau,"rspo certified, mb",po1000000148
15,15,Distance,0.14836144736757556,100,89,25.0,ferrero,indonesia,kutai timur,1.2508059999999999,116.728917,pt dharma satya nusantara,pt dharma satya nusantara pks3,dharma satya nusantara,pt dharma satya,dharma satya nusantara (dsn), dharma satya,kalimantan timur,"rspo certified, ip",po1000000939
18,18,Distance,0.19450194960462516,20,29,487.0,ferrero,indonesia,nagan raya,4.11618,96.44256,fajar baizury & brothers,seunagan,fajar baizuri & brothers,pt socfin indonesia,fajar baizury, socfin,aceh,,po1000004565
20,20,Distance,0.005554679468703543,100,100,26.0,ferrero,indonesia,musi banyuasin,-2.6081,104.12525,sungai lilin,sungai lilin,hindoli,pt hindoli,cargill, cargill,sumatera selatan,"rspo certified, ip",po1000000058
22,22,Distance,0.1319049242015619,45,34,107.0,ferrero,indonesia,aceh tamiang,4.18335,97.936817,pulau tiga,sungai liput,perkebunan nusantara i,pt socfin indonesia,ptpn iii, socfin,aceh,,po1000004567
23,23,Distance,0.001621744176228567,38,100,26.0,ferrero,indonesia,musi rawas,-2.985722,103.406028,sungai pinang,,bina sains cemerlang,pt bina sains cemerlang  minamas plantationsungai pinang,sime darby, sime darby plantation,sumatera selatan,"rspo certified, ip",po1000000316
25,25,Distance,0.11928326709979288,31,33,112.0,ferrero,indonesia,simalungun,3.1129,99.327311,dolok sinumbah,tanah gambus,perkebunan nusantara iv,pt socfin indonesia,ptpn iii, socfin,sumatera utara,"rspo certified, mb",po1000005868
26,26,Distance,0.1685127819039356,36,22,108.0,kellog,indonesia,labuhanbatu selatan,1.9640279999999999,100.10816700000001,sisumut,abdi budi mulia,perkebunan nusantara iii,,ptpn iii,aathi bagawathi manufacturing,sumatera utara,"rspo certified, mb",po1000003112
27,27,Mill Name,0.3608679480221145,100,18,139.0,kellog,indonesia,pelalawan,0.14138900000000001,101.6466667,segati,segati,mitra unggul pusaka,,royal golden eagle,adimulia agrolestari,riau,,po1000004157
28,28,Distance,0.19675559648711385,38,9,43.0,kellog,indonesia,bengkulu tengah,-3.8046059999999997,102.39751600000001,cahaya sawit lestari,agri andalas,cahaya sawit lestari,,superventure,agri andalas,bengkulu,,po1000007568
29,29,Distance,0.0,95,33,677.0,kellog,indonesia,bengkulu utara,-3.200972,101.630139,agricinal,agri cinal,agricinal,,unknown,agri cinal,bengkulu,,po1000004072
30,30,Distance,0.09252979390985754,62,12,0.0,kellog,indonesia,pasaman barat,0.198958,99.626589,agrowiratama,agro wira ligatsa,agro wiratama,,musim mas,agro wira ligatsa,sumatera barat,"rspo certified, ip",po1000000092
31,31,Distance,1.4212589332811787e-14,100,17,66.0,kellog,indonesia,ketapang,-1.5212219999999999,110.45891499999999,pekawai,pekawai,agro lestari mandiri,,sinar mas,agrolestari mandiri,kalimantan barat,,po1000001637
32,32,Distance,0.16673065744787316,40,33,133.0,kellog,indonesia,labuhanbatu utara,2.383611,99.826388,tahuan ganda,agung agro lestari,tor ganda,,torganda,agung agro lestari,sumatera utara,,po1000004185
33,33,Distance,0.08593142564859142,28,20,117.0,kellog,indonesia,landak,0.153067,109.878198,saban sawit makmur,ichtiar gusti pudi,saban sawit subur,,mandhala cipta purmono,ahmad zaki resources,kalimantan barat,,po1000008140
34,34,Distance,0.10954049479530396,100,13,33.0,kellog,indonesia,rokan hulu,1.089,100.77600000000001,andika permata sawit lestari,andika permata sawit lestari,andika permata sawit lestari,,andika,andika permata sawit lestari,riau,,po1000005202
35,35,Distance,0.0,31,16,556.0,kellog,indonesia,tanjung jabung b,-1.078917,103.007933,kampung baru,anekapura multikerta,aneka pura multi kerta,,unknown,anekapura multikerta,jambi,,po1000004842
37,37,Distance,0.00016999411755008788,100,17,692.0,kellog,indonesia,barito timur,-2.07272,115.06853999999998,sawit graha manunggal,sawit graha manunggal,sawit graha manunggal,,anglo-eastern plantation (aep),angloeastern plantations,kalimantan tengah,,po1000007627
38,38,Distance,0.16185256978188833,44,22,108.0,kellog,indonesia,labuhanbatu selatan,1.6758830000000002,100.32325,sei daun,tasik raja,perkebunan nusantara iii,,ptpn iii,angloeastern plantations,sumatera utara,"rspo certified, mb",po1000004477
39,39,Distance,0.1269038065347132,32,25,114.0,kellog,indonesia,langkat,3.620806,98.401528,sinar langkat perkasa,united kingdom indonesia plantations,sinar langkat perkasa,,unknown,angloeastern plantations,sumatera utara,,po1000004296
40,40,Distance,0.0,19,22,33674.0,kellog,indonesia,bengkulu utara,-3.13275,101.8766,sumido,alno agro utama,alno agro utama,,anglo-eastern plantation (aep),angloeastern plantations,bengkulu,,po1000004215
41,41,Distance,0.1856203836894003,50,17,132.0,kellog,indonesia,mukomuko,-2.710107,101.34100000000001,karya agro sawitindo,bumi mentari karya air hitam,karya agro sawitindo,,sinar jaya agro investama (sjai),anugerah,bengkulu,,po1000008162
42,42,Distance,0.06358241180775452,36,16,43.0,kellog,indonesia,bengkulu selatan,-4.533458,103.0570027,bengkulu sawit lestari,anugerah pelangi sukses,bengkulu sawit lestari,,unknown,anugerah pelangi sukses,bengkulu,,po1000005206
43,43,Distance,0.18544856030986265,39,18,49.0,kellog,indonesia,labuhanbatu,2.242982,100.19174699999999,cisadane sawit raya,anugerah tanjung medan,cisadane sawit raya,,cisadane raya,anugerah tanjung medan,sumatera utara,,po1000004153
44,44,Distance,0.19955221091734554,50,17,39.0,kellog,indonesia,asahan,2.799,99.44161700000001,sawita inter perkasa,anugrah multi sawita,sawita inter perkasa,,unknown,anugrah multi sawita,sumatera utara,,po1000004129
45,45,Distance,0.0,100,19,14.0,kellog,indonesia,katingan,-2.253034,113.379145,arjuna utama sawit,arjuna utama sawit,arjuna utama sawit,,gccp resources,arjuna utama sawit,kalimantan tengah,,po1000007549
46,46,Distance,0.060081711976274675,28,20,39.0,kellog,indonesia,asahan,3.04075,99.58144399999999,unit kisaran,arya rama persada,bakrie sumatera plantations,,bakrie,arya rama persada,sumatera utara,"rspo certified, mb",po1000000184
47,47,Distance,0.11932767035771195,30,22,15.0,kellog,indonesia,rokan hilir,1.851433,100.295583,simpang kanan lestarindo,asam jawa,simpang kanan lestarindo,,duta marga,asam jawa,riau,,po1000004495
48,48,Distance,0.10671624229703658,48,21,14.0,kellog,indonesia,kotawaringin timur,-2.478167,112.64761100000001,maju aneka sawit,sapta karya damai,maju aneka sawit,,musim mas,asam jawa,kalimantan tengah,"rspo certified, ip",po1000000170
49,49,Distance,0.15989044892051935,43,20,41.0,kellog,indonesia,kotawaringin timur,-2.025217,112.67493300000001,intiga prabhakara kahuripan,swadaya sapta putra,intiga prabhakara kahuripan,,makin,asam jawa,kalimantan tengah,,po1000004510
51,51,Distance,0.00421208226414409,100,13,34.0,kellog,indonesia,kotawaringin barat,-2.38,111.79,gunung sejahtera ibu pertiwi,gunung sejahtera ibu pertiwi,gunung sejahtera ibu pertiwi,,astra agro lestari,astra agro lestari,kalimantan tengah,,po1000004179
53,53,Distance,0.14817703077738098,34,22,735.0,kellog,indonesia,tapin,-2.728,114.84299999999999,tribuana mas,subur agro makmur,pt tribuana mas,,astra agro lestari,astra agro lestari,kalimantan selatan,,po1000011312
54,54,Mill Name,0.4341300689429801,95,10,36.0,kellog,indonesia,mamuju,-2.115133333,119.25709170000002,suryaraya lestari 2,suryaraya lestari 1,suryaraya lestari,,astra agro lestari,astra agro lestari,sulawesi barat,,po1000004156
56,56,Distance,0.0005591216325661955,100,20,1041.0,kellog,indonesia,aceh barat,4.349722,96.16444399999999,karya tanah subur,karya tanah subur,karya tanah subur,,astra agro lestari,astra agro lestari,aceh,,po1000004571
57,57,Distance,0.151634818513013,42,15,567.0,kellog,indonesia,aceh singkil,2.46227654433,98.02821195919992,singkil sejahtera makmur,perkebunan lembah bhakti,singkil sejahtera makmur,,unknown,astra agro lestari,aceh,,po1000010059
58,58,Distance,0.08767518108335895,31,21,104.0,kellog,indonesia,rokan hulu,0.892167,100.699,kota lama,eka dura indonesia sei manding,sumber jaya indahnusa coy,,unknown,astra agro lestari,riau,,po1000004423
59,59,Distance,0.0029497732116213933,100,10,37.0,kellog,indonesia,siak,0.674633,101.72891700000001,kimia tirta utama,kimia tirta utama,kimia tirta utama,,astra agro lestari,astra agro lestari,riau,,po1000004408
60,60,Distance,0.1425464949433702,39,17,72.0,kellog,indonesia,merangin,-2.0852778,102.436472,graha cipta bangko jaya,sari aditya loka 1,grahacipta bangkojaya,,mentari,astra agro lestari,jambi,,po1000004094
61,61,Mill Name,0.31324239420135885,94,11,72.0,kellog,indonesia,merangin,-1.957817,102.37265,sari aditya loka 1,sari aditya loka 2,sari aditya loka,,astra agro lestari,astra agro lestari,jambi,,po1000004505
62,62,Distance,0.13068215273406644,24,17,173.0,kellog,indonesia,pelalawan,-0.05,102.075,pangkalan lesung,sari lembah subur,musim mas,,musim mas,astra agro lestari,riau,"rspo certified, ip",po1000000355
63,63,Distance,0.0022323960222132124,100,20,38.0,kellog,indonesia,indragiri hulu,-0.305183,102.27318299999999,tunggal perkasa plantations,tunggal perkasa plantations,tunggal perkasa plantations,,astra agro lestari,astra agro lestari,riau,,po1000004372
64,64,Distance,1.4210854715202004e-14,100,17,256.0,kellog,indonesia,sarolangun,-2.086512,102.80149300000001,sungai air jernih,sungai air jernih,bahana karya semesta,,sinar mas,bahana karya semesta,jambi,,po1000008429
65,65,Distance,0.020666427001300725,29,24,107.0,kellog,indonesia,aceh tamiang,4.366879,98.088319,tanjung seumantoh,bahari dwikencana lestari,perkebunan nusantara i,,ptpn iii,bahari dwikencana lestari,aceh,,po1000004573
66,66,Distance,0.0944447105189082,34,19,42.0,kellog,indonesia,muaro jambi,-1.7443669999999998,103.86936700000001,biccon agro makmur,sumbertama nusa pertiwi,biccon agro makmur,,unknown,bakrie sumatera plantations,jambi,,po1000004482
69,69,Distance,0.19773894392608496,35,23,116.0,kellog,indonesia,asahan,2.701905,99.623998,pulau raja,graha dura leidong prima,perkebunan nusantara iv,,ptpn iii,bakrie sumatera plantations,sumatera utara,"rspo certified, mb",po1000002335
71,71,Distance,0.00673131443329254,78,21,41.0,kellog,indonesia,kotawaringin timur,-1.472613,112.742949,bangkitgiat usaha mandiri,bangkitgiat usahamandiri,bangkit giat usaha mandiri,,nt corp,bangkitgiat usahamandiri,kalimantan tengah,,po1000008211
72,72,Distance,3.300000006590004e-08,95,25,1059.0,kellog,indonesia,bengkulu utara,-3.3635832999999997,101.82688890000001,kencana ketara kewala,kencana katara kewala,kencana katara kewala,,unknown,bara adipratama,bengkulu,,po1000005204
73,73,Mill Name,10.178064044157797,100,10,196.0,kellog,indonesia,rokan hilir,1.8712,100.431,cipta agro sejati,"barumun agro sentosa cipta usaha 
sejati",cipta agro sejati,,unknown,pasifik agro sentosa,riau,,po1000004313
74,74,Distance,0.1945644360771024,38,22,108.0,kellog,indonesia,labuhanbatu selatan,1.6884830000000002,100.285767,sei baruhur,"barumun agro sentosa aek sigala 
gala",perkebunan nusantara iii,,ptpn iii,pasifik agro sentosa,sumatera utara,"rspo certified, mb",po1000001784
77,77,Mill Name,14.680347887301927,96,26,17.0,kellog,indonesia,batang hari,-1.5851,103.201217,muara bulian,muara bulan,inti indosawit subur,,royal golden eagle,bima agri sawit,jambi,"rspo certified, mb",po1000000279
78,78,Distance,0.055508295172892685,50,29,87.0,kellog,indonesia,kutai timur,0.75,117.35,kutai balian nauli,bima palma nugraha,kutai balian nauli,,chellam plantations,palm mas asri,kalimantan timur,,po1000007638
79,79,Distance,0.13107763086049595,43,21,491.0,kellog,indonesia,deli serdang,3.4522199999999996,98.698611,kencana permata nusantara,palm trimitra indotama,kencana permata nusantara,,unknown,bina sawit nusantara,sumatera utara,,po1000007566
80,80,Distance,0.19600632257403494,36,26,126.0,kellog,indonesia,musi banyuasin,-2.2219330000000004,104.1768,pinang witmas sejati,mangsang,pinang witmas sejati,,unknown,binakarya eramandiri,sumatera selatan,,po1000004135
81,81,Distance,0.14764625867254044,47,21,131.0,kellog,indonesia,sanggau,-0.028739999999999998,110.45414299999999,kebun rimba belian,bintang harapan desa,perkebunan nusantara xiii,,ptpn iii,bintang harapan desa,kalimantan barat,,po1000007586
82,82,Distance,0.0016427333928601328,25,23,43.0,kellog,indonesia,bengkulu tengah,-3.6444669999999997,102.24245,sei lemau,bio nusantara teknologi,bio nusantara teknologi,,unknown,bio nusantara technology,bengkulu,,po1000004945
83,83,Distance,0.0011111300553885725,100,25,169.0,kellog,indonesia,bireuen,4.9849830000000015,96.7,blang ketumba,blang ketumba,blang ketumba,,unknown,blang ketumba,aceh,,po1000004582
85,85,Distance,0.06347883953424187,100,25,193.0,kellog,indonesia,kapuas hulu,0.9562877132068348,111.88282184639601,sawit seriang,seriang,buana tunas sejahtera,,unknown,buana tunas sejahtera,kalimantan barat,,po1000010259
86,86,Distance,0.003408056484273902,100,19,44.0,kellog,indonesia,kampar,0.134774,101.267236,flora wahana tirta,flora wahana tirta,flora wahana tirta,,bbip palm,bukit barisan indah prima,riau,,po1000004154
87,87,Distance,0.128041903906494,30,27,42.0,kellog,indonesia,muaro jambi,-1.444417,103.62791700000001,maro sebo,"batanghari sawit sejahtera muaro 
jambi",petaling mandraguna,,unknown,bukit barisan indah prima,jambi,,po1000004465
88,88,Distance,0.19101327225614756,39,14,2.0,kellog,indonesia,muaro jambi,-1.3213,103.26525,palma abadi,bukit barisan indah prima,palma abadi,,unknown,bukit barisan indah prima,jambi,,po1000004452
90,90,Distance,0.0,100,9,1292.0,kellog,indonesia,bengkalis,1.54875,102.08845,meskom agro sarimas,meskom agro sarimas,meskom agro sarimas,,sarimas,bumi,riau,,po1000004470
91,91,Distance,0.0018384613131569867,100,22,46.0,kellog,indonesia,musi rawas,-2.49479,102.87414,bumi mekar tani,bumi mekar tani,bumi mekar tani,,tudung,bumi mekar tani,sumatera selatan,,po1000007637
92,92,Distance,0.11016159171871566,42,13,228.0,kellog,indonesia,bangka barat,-1.901389,105.47638899999998,maskapai perkebuan leidong west,bumi permai lestari bukit perak,maskapai perkebunan leidong west indonesia,,sinar mas,golden agri resources,bangka belitung,"rspo certified, mb",po1000001372
93,93,Distance,0.0,45,15,354.0,kellog,indonesia,ketapang,-2.546278,110.384971,pembangunan raya,agro sejahtera manunggal,agro sejahtera manunggal,,bumitama gunajaya agro (bga),bumitama gunajaya agro,kalimantan barat,"rspo certified, mb",po1000004866
95,95,Distance,0.16628300359326026,32,14,190.0,kellog,indonesia,ketapang,-2.373333,110.64333300000001,bukit palem,karya bakti agro sejahtera,bukit palem,,unknown,bumitama gunajaya agro,kalimantan barat,,po1000008176
96,96,Distance,0.13759481396114062,42,22,71.0,kellog,indonesia,kotawaringin timur,-1.9907169999999998,112.923133,sarana prima multi niaga,"windu nabatindo lestari pundu 
nabatindo",sarana prima multi niaga,,tsh resources,bumitama gunajaya agro,kalimantan tengah,"rspo certified, mb",po1000003976
97,97,Mill Name,11.769527376010732,100,15,44.0,kellog,indonesia,kampar,0.346002,101.475229,agro abadi,"windu nabatindo abadi selucing 
agro",agro abadi,,panca eka,bumitama gunajaya agro,riau,,po1000008215
98,98,Distance,0.1654326481705468,24,24,231.0,kellog,indonesia,kotawaringin timur,-1.5958444,112.59883059999999,unggul lestari,karya makmur bahagia,unggul lestari,,musim mas,bumitama gunajaya agro,kalimantan tengah,"rspo certified, ip",po1000000286
100,100,Distance,0.10886769135515507,24,16,79.0,kellog,indonesia,sukamara,-2.3333,111.28108300000001,harapan hibrida kalbar,kotawaringin,harapan hibrida kalbar,,union sampoerna triputra persada (ustp),bumitama gunajaya agro,kalimantan tengah,,po1000004171
102,102,Distance,0.19730709907402352,32,18,248.0,kellog,indonesia,bungo,-1.2420799999999999,101.7461389,sawit jujuhan abadi,bungo limbur,sawit jujuhan abadi,,unknown,bungo limbur,jambi,,po1000007600
103,103,Distance,0.06544653398003175,61,23,409.0,kellog,indonesia,kutai kartanegara,-0.15434,117.01007,karya teknik plantation,cahaya anugerah plantation,karya teknik plantation,,unknown,cahaya anugerah plantation,kalimantan timur,,po1000008435
105,105,Distance,0.08016996943319492,40,21,139.0,kellog,indonesia,pelalawan,0.1510556,101.9750556,sei nilo,cakra alam sejati,surya bratasena plantation,,unknown,cakra alam sejati,riau,,po1000004159
106,106,Distance,0.05145750069716963,100,27,47.0,kellog,indonesia,ogan komering ulu timur,-3.7648,104.7398,campang tiga,campang tiga,campang tiga,,unknown,campang tiga,sumatera selatan,,po1000004531
107,107,Distance,0.17897662457985894,38,17,122.0,kellog,indonesia,ketapang,-2.683161,110.97544199999999,usaha agro indonesia,indo sawit kekal river view,usaha agro indonesia,,sampoerna agro,cargill,kalimantan barat,"rspo certified, mb",po1000006365
108,108,Distance,0.15086931538586473,39,17,130.0,kellog,indonesia,ketapang,-2.483162,111.018391,manis mata,maya agro investama kedipi,harapan sawit lestari,,cargill,cargill,kalimantan barat,"rspo certified, ip",po1000001208
109,109,Distance,0.10089575258155606,24,26,147.0,kellog,indonesia,kuantan singingi,-0.09765,101.29788,tanjung pauh,surya agrolika reksa sei basau,inti indosawit subur,,royal golden eagle,cargill,riau,,po1000006173
110,110,Distance,0.08930045986443794,30,8,105.0,kellog,indonesia,paser,-2.150817,116.083859,multi makmur mitra alam,pucuk jaya,multi makmur mitra alam,,padasa enam utama,chellam plantations,kalimantan timur,,po1000004092
111,111,Distance,0.18540259299659329,39,29,188.0,kellog,indonesia,sambas,1.353558,109.507953999999,agronusa investama 1 - sambas,mitra abadimas sejahtera,agronusa investama,,wilmar,chora group,kalimantan barat,"rspo certified, mb",po1000002130
112,112,Distance,0.11160617232035128,46,21,429.0,kellog,indonesia,deli serdang,3.3273099999999998,98.76403,tales inti sawit,cinta raja,tales inti sawit,,duta marga,cinta raja,sumatera utara,,po1000004321
114,114,Distance,0.0473871851559047,29,10,77.0,kellog,indonesia,langkat,3.8069,98.341667,makmur abadi raya,cipta chemical medan oil,makmur abadi raya,,unknown,cipta chemical medan oil,sumatera utara,,po1000004541
116,116,Distance,3.198765484319077e-07,100,9,842.0,kellog,indonesia,kaur,-4.866889,103.534242,ciptamas bumiselaras,ciptamas bumiselaras,ciptamas bumiselaras,,ciputra,ciptamas bumiselaras,bengkulu,,po1000008132
117,117,Distance,0.15747309359061418,30,23,17.0,kellog,indonesia,muaro jambi,-1.9109,103.4034,bunut,angso duo sawit,perkebunan nusantara vi,,ptpn iii,cisadane raya chemicals,jambi,,po1000008199
118,118,Distance,0.1968723402106085,88,11,49.0,kellog,indonesia,labuhanbatu,2.359722,100.035278,negeri lama ii,negeri lama cisadane,hari sawit jaya,,royal golden eagle,cisadane sawit raya,sumatera utara,"rspo certified, mb",po1000003004
119,119,Distance,0.05679784476543459,38,22,49.0,kellog,indonesia,labuhanbatu,2.058056,99.955278,aek nabara selatan,citra indah pertiwi,perkebunan nusantara iii,,ptpn iii,citra indah pertiwi,sumatera utara,"rspo certified, mb",po1000001564
120,120,Distance,0.19631292392503424,35,25,268.0,kellog,indonesia,kotawaringin timur,-1.798,112.98541000000002,sungai cempaga,bisma dharma kencana,windu nabatindo abadi,,bumitama gunajaya agro (bga),sinar jaya agro investama,kalimantan tengah,,po1000009211
121,121,Distance,0.13293370427397252,38,10,132.0,kellog,indonesia,mukomuko,-2.867818,101.43663000000001,gajah sakti sawit,daria dharma pratama ipuh,gajah sakti sawit,,sinar jaya agro investama (sjai),daria,bengkulu,,po1000010256
123,123,Distance,0.19348440706682252,39,9,726.0,kellog,indonesia,bulungan,2.92199,117.26463999999999,citra sawit lestari,sanggam kahuripan indonesia,citra sawit lestari,,unknown,dhanista surya nusantara,kalimantan timur,,po1000008423
124,124,Mill Name,6.2684177408001425,100,24,25.0,kellog,indonesia,kutai timur,1.2508059999999999,116.728917,pt dharma satya nusantara,dharma satya nusantara,dharma satya nusantara,,dharma satya nusantara (dsn),dharma satya nusantara,kalimantan timur,"rspo certified, ip",po1000000939
126,126,Distance,0.0,31,18,755.0,kellog,indonesia,pontianak,0.2998,109.1754,enggang,peniti sungai parun,peniti sungai purun,,hpi-agro (djarum),djarum,kalimantan barat,,po1000004162
127,127,Distance,0.003052792983482424,100,17,51.0,kellog,indonesia,subulussalam,2.7667330000000003,97.9367,samudera sawit nabati,samudera sawit nabati,samudera sawit nabati,,duta marga,duta marga,aceh,,po1000004242
130,130,Distance,0.1874809446370487,47,16,392.0,kellog,indonesia,serdang bedagai,3.3483110000000003,98.950331,multi agrindo sumatera,tales inti sawit,multi agrindo sumatera,,unknown,duta marga,sumatera utara,,po1000007473
131,131,Distance,0.0034411086876199285,100,16,52.0,kellog,indonesia,dharmasraya,-1.076033,101.663617,dharmasraya lestarindo,dharmasraya lestarindo,dharmasraya lestarindo,,duta marga,duta marga,sumatera barat,,po1000004434
132,132,Distance,0.048217288600300987,46,29,140.0,kellog,indonesia,kuantan singingi,-0.391997,101.41701399999901,sinar utama nabati,duta mentari raya,sinar utama nabati,,unknown,duta mentari raya,riau,,po1000010074
133,133,Distance,4.000000000115023e-06,22,21,325.0,kellog,indonesia,kapuas,-0.8419399999999999,114.08,dwie warna karya,golden hill,dwie warna karya,,genting plantations,dwie warna karya,kalimantan tengah,,po1000007648
134,134,Distance,0.11970709645212825,20,18,35.0,kellog,indonesia,kotawaringin barat,-2.60852,111.78048799999999,meta epsi agro,bedaun,multi agro gemilang plantations,,unknown,eagle high plantations,kalimantan tengah,,po1000007453
135,135,Mill Name,5.278546713680393,100,27,372.0,kellog,indonesia,sekadau,0.46984499999999996,111.211969,sejahtera,sawit sukes sejahtera,grand mandiri utama,,tianjin julong,eagle high plantations,kalimantan barat,,po1000005205
137,137,Distance,0.06279833311483117,76,18,71.0,kellog,indonesia,kotawaringin timur,-1.6990560000000001,112.87719399999999,hutan sawit lestari,bumihutani lestari,hutan sawit lestari,,hutanindo,eagle high plantations,kalimantan tengah,,po1000008207
140,140,Distance,0.035731703261951714,32,9,169.0,kellog,indonesia,aceh timur,4.598267,97.901833,koperasi prima jasa,ensem sawita,koperasi prima jasa,,eka karya,tenera lestari,aceh,,po1000004309
141,141,Distance,0.056113068143258484,62,23,101.0,kellog,indonesia,tapanuli tengah,2.114933,98.265567,sinar gunung sawit raya,nauli sawit,sinar gunung sawit raya,,mujur timber,era cipta,sumatera utara,,po1000004523
142,142,Distance,0.0,100,8,487.0,kellog,indonesia,nagan raya,4.11618,96.44256,fajar baizury & brothers,fajar baizury  brothers,fajar baizuri & brothers,,fajar baizury,fajar baizury  brothers,aceh,,po1000004565
143,143,Distance,0.1526929219708518,27,17,146.0,kellog,indonesia,mandailing natal,0.5675279999999999,99.20330600000001,patiluban mudik,rimba mujur mahkota sikarakara,tri bahtera srikandi,,sago nauli,pasifik agro sentosa,sumatera utara,,po1000008234
145,145,Distance,0.0995965628724245,62,19,47.0,kellog,indonesia,ogan komering ilir,-3.941983,105.10978300000001,permata bunda,garuda bumi perkasa,mutiara bunda jaya,,sampoerna agro,dharma agung wijaya,sumatera selatan,"rspo certified, mb",po1000004548
146,146,Distance,0.002656146268557269,100,17,66.0,kellog,indonesia,ketapang,-1.099617,110.46815,prakarsa tani sejati,prakarsa tani sejati,prakarsa tani sejati,,global palm resources holdings,global palm resources,kalimantan barat,,po1000004437
147,147,Distance,0.001881038386107538,100,7,67.0,kellog,indonesia,belitung,-3.0324871,107.770416,tanjung kembiri,"forestalestari dwikarya tanjung 
kembiri",foresta lestari dwikarya,,sinar mas,golden agri resources,bangka belitung,"rspo certified, mb",po1000001383
148,148,Distance,0.0011165312355630472,100,17,17.0,kellog,indonesia,musi rawas,-2.9002779999999997,103.1775,muara kandis,djuanda sawit lestari muara kandis,djuanda sawit lestari,,sinar mas,golden agri resources,sumatera selatan,"rspo certified, mb",po1000001631
149,149,Distance,0.18483107022629205,38,9,1.0,kellog,indonesia,kotawaringin timur,-2.381111,112.539722,sukajadi sawit mekar 1,binasawit abadi pratama perdana,sukajadi sawit mekar,,musim mas,golden agri resources,kalimantan tengah,"rspo certified, ip",po1000000106
150,150,Distance,0.12095499550245392,31,15,1.0,kellog,indonesia,seruyan,-2.39805,112.22478999999998,musirawas citraharpindo pks 1,tapian nadenggan hanau,musirawas citra harpindo,,musirawas,golden agri resources,kalimantan tengah,,po1000004192
154,154,Distance,0.1651986244161774,33,17,72.0,kellog,indonesia,sarolangun,-2.2237560000000003,102.480456,lambang sawit perkasa,kresna duta agroindo pelakar,lambang sawit perkasa,,lambang jaya,golden agri resources,jambi,,po1000004090
